#TFM v1.0.8 by tritical
field = bottom
crc32 = f7df6e5a
#   26903,27550 (46.1%)
#   27565,27951 (48.1%)
#   27973,28314 (50.9%)
#   28331,28652 (50.3%)
#   28683,28695 (15.4%)
#   28714,28727 (14.3%)
#   28751,28824 (55.4%)
#   28839,28862 (37.5%)
#   28879,28925 (53.2%)
#   28940,29263 (47.5%)
#   29282,29379 (31.6%)
#   29402,29473 (27.8%)
#   29487,30764 (46.6%)
#   30778,32775 (49.8%)
#   32789,33725 (47.7%)
#   33739,33829 (41.8%)
#   33845,34746 (56.2%)
#   34762,35492 (44.9%)
#   35511,35569 (30.5%)
#   35586,36580 (48.6%)
#   36604,36609 (33.3%)
#   36624,36627 (50.0%)
#   36646,36706 (34.4%)
#   36722,37018 (41.4%)
#   37037,37078 (52.4%)
#   37101,37116 (43.8%)
#   37132,37687 (52.9%)
#   37725,37759 (45.7%)
#   37782,37937 (39.1%)
#   37964,39097 (52.4%)
#   39115,39474 (51.9%)
#   39488,39502 (33.3%)
#   39521,41093 (56.1%)
#   41116,41150 (22.9%)
#   41167,41187 (19.0%)
#   41203,41228 (34.6%)
#   41278,41295 (23.5%)
#
#
# [POSSIBLE MISSED COMBED FRAMES]
#
#   FORMAT:  frame_number (mic_value)
#
#   23 (80)
#   24 (80)
#   47 (49)
#   65 (77)
#   68 (79)
#   69 (80)
#   70 (80)
#   90 (80)
#   102 (80)
#   122 (69)
#   142 (80)
#   144 (43)
#   170 (80)
#   180 (77)
#   228 (58)
#   236 (80)
#   258 (74)
#   276 (49)
#   300 (80)
#   303 (46)
#   314 (52)
#   322 (75)
#   336 (80)
#   354 (80)
#   355 (80)
#   386 (56)
#   389 (57)
#   398 (80)
#   425 (79)
#   430 (80)
#   433 (80)
#   434 (80)
#   438 (64)
#   447 (51)
#   452 (80)
#   488 (80)
#   497 (71)
#   499 (80)
#   500 (75)
#   508 (80)
#   510 (65)
#   531 (74)
#   532 (80)
#   534 (80)
#   563 (80)
#   564 (80)
#   569 (74)
#   574 (68)
#   576 (76)
#   586 (80)
#   599 (61)
#   617 (80)
#   621 (68)
#   625 (80)
#   638 (80)
#   655 (40)
#   671 (72)
#   674 (65)
#   696 (80)
#   734 (80)
#   763 (35)
#   777 (80)
#   792 (66)
#   796 (77)
#   806 (63)
#   824 (80)
#   830 (80)
#   833 (64)
#   836 (80)
#   861 (80)
#   872 (80)
#   873 (80)
#   886 (76)
#   887 (80)
#   911 (79)
#   921 (80)
#   944 (64)
#   970 (76)
#   973 (50)
#   977 (77)
#   1004 (35)
#   1007 (67)
#   1010 (24)
#   1021 (80)
#   1045 (47)
#   1052 (76)
#   1074 (80)
#   1091 (80)
#   1124 (65)
#   1212 (79)
#   1231 (61)
#   1237 (50)
#   1244 (79)
#   1278 (80)
#   1287 (76)
#   1289 (70)
#   1293 (67)
#   1321 (70)
#   1337 (73)
#   1344 (77)
#   1361 (80)
#   1364 (74)
#   1393 (80)
#   1394 (80)
#   1396 (69)
#   1405 (59)
#   1409 (66)
#   1411 (74)
#   1418 (56)
#   1428 (42)
#   1430 (80)
#   1435 (80)
#   1438 (80)
#   1450 (68)
#   1477 (80)
#   1493 (80)
#   1556 (42)
#   1559 (80)
#   1566 (80)
#   1568 (66)
#   1571 (44)
#   1595 (33)
#   1597 (69)
#   1621 (62)
#   1633 (67)
#   1643 (80)
#   1644 (80)
#   1646 (80)
#   1656 (73)
#   1657 (78)
#   1681 (77)
#   1692 (80)
#   1702 (61)
#   1723 (32)
#   1743 (75)
#   1745 (77)
#   1778 (80)
#   1798 (28)
#   1801 (80)
#   1820 (80)
#   1850 (80)
#   1852 (80)
#   1857 (80)
#   1908 (32)
#   1926 (59)
#   1961 (34)
#   1974 (80)
#   1975 (77)
#   1999 (80)
#   2029 (80)
#   2047 (71)
#   2049 (78)
#   2053 (69)
#   2059 (67)
#   2062 (66)
#   2066 (70)
#   2077 (61)
#   2082 (80)
#   2083 (80)
#   2092 (47)
#   2120 (75)
#   2122 (80)
#   2123 (63)
#   2137 (44)
#   2148 (80)
#   2173 (80)
#   2175 (80)
#   2208 (65)
#   2215 (79)
#   2216 (72)
#   2218 (44)
#   2220 (62)
#   2225 (80)
#   2260 (80)
#   2268 (80)
#   2269 (69)
#   2279 (80)
#   2281 (80)
#   2301 (73)
#   2307 (80)
#   2313 (45)
#   2315 (77)
#   2323 (80)
#   2329 (70)
#   2332 (47)
#   2346 (76)
#   2358 (80)
#   2360 (61)
#   2365 (64)
#   2392 (80)
#   2400 (59)
#   2409 (80)
#   2411 (77)
#   2416 (80)
#   2419 (77)
#   2438 (80)
#   2443 (59)
#   2463 (80)
#   2474 (65)
#   2478 (54)
#   2483 (42)
#   2485 (47)
#   2495 (78)
#   2499 (80)
#   2502 (80)
#   2505 (80)
#   2506 (80)
#   2508 (80)
#   2509 (80)
#   2512 (80)
#   2513 (80)
#   2514 (80)
#   2523 (74)
#   2526 (80)
#   2560 (78)
#   2565 (78)
#   2570 (47)
#   2575 (45)
#   2580 (53)
#   2592 (80)
#   2601 (80)
#   2610 (69)
#   2640 (80)
#   2683 (80)
#   2685 (76)
#   2728 (78)
#   2738 (80)
#   2747 (74)
#   2810 (80)
#   2811 (80)
#   2831 (80)
#   2853 (77)
#   2855 (80)
#   2856 (80)
#   2857 (80)
#   2865 (80)
#   2866 (80)
#   2874 (80)
#   2875 (76)
#   2879 (71)
#   2888 (80)
#   2893 (80)
#   2896 (80)
#   2910 (80)
#   2914 (80)
#   2924 (68)
#   2931 (53)
#   2954 (80)
#   2959 (80)
#   2960 (80)
#   2968 (73)
#   2990 (42)
#   3090 (59)
#   3142 (46)
#   3166 (80)
#   3167 (69)
#   3169 (52)
#   3182 (64)
#   3202 (53)
#   3219 (44)
#   3222 (53)
#   3245 (52)
#   3270 (66)
#   3275 (73)
#   3285 (80)
#   3294 (80)
#   3314 (80)
#   3352 (71)
#   3361 (59)
#   3372 (44)
#   3401 (80)
#   3403 (64)
#   3407 (80)
#   3409 (80)
#   3410 (80)
#   3422 (80)
#   3437 (42)
#   3439 (75)
#   3441 (76)
#   3453 (80)
#   3506 (80)
#   3537 (76)
#   3539 (51)
#   3542 (56)
#   3551 (80)
#   3568 (79)
#   3576 (80)
#   3597 (80)
#   3610 (39)
#   3615 (62)
#   3625 (80)
#   3628 (72)
#   3656 (80)
#   3657 (72)
#   3658 (80)
#   3665 (80)
#   3674 (55)
#   3686 (80)
#   3695 (80)
#   3711 (61)
#   3768 (60)
#   3804 (80)
#   3832 (80)
#   3877 (80)
#   3958 (80)
#   3961 (78)
#   3978 (80)
#   3982 (80)
#   4000 (80)
#   4016 (42)
#   4023 (66)
#   4033 (80)
#   4043 (62)
#   4047 (66)
#   4050 (80)
#   4061 (75)
#   4062 (63)
#   4075 (63)
#   4077 (70)
#   4088 (73)
#   4090 (74)
#   4093 (80)
#   4095 (80)
#   4098 (80)
#   4114 (48)
#   4122 (80)
#   4130 (80)
#   4133 (76)
#   4162 (63)
#   4166 (80)
#   4168 (60)
#   4170 (80)
#   4176 (74)
#   4179 (80)
#   4180 (80)
#   4182 (76)
#   4183 (76)
#   4187 (68)
#   4190 (64)
#   4195 (80)
#   4198 (78)
#   4232 (80)
#   4234 (69)
#   4252 (70)
#   4268 (48)
#   4272 (80)
#   4279 (80)
#   4281 (63)
#   4285 (67)
#   4288 (74)
#   4312 (71)
#   4316 (80)
#   4318 (80)
#   4340 (33)
#   4344 (80)
#   4345 (80)
#   4355 (80)
#   4359 (80)
#   4379 (45)
#   4388 (63)
#   4392 (71)
#   4407 (80)
#   4409 (72)
#   4415 (80)
#   4416 (80)
#   4423 (55)
#   4447 (80)
#   4473 (49)
#   4484 (80)
#   4589 (80)
#   4590 (79)
#   4653 (80)
#   4654 (80)
#   4657 (80)
#   4669 (80)
#   4694 (64)
#   4696 (77)
#   4747 (80)
#   4751 (80)
#   4763 (51)
#   4776 (80)
#   4794 (64)
#   4803 (80)
#   4817 (65)
#   4872 (61)
#   4885 (80)
#   5004 (78)
#   5005 (80)
#   5008 (80)
#   5036 (70)
#   5079 (51)
#   5106 (69)
#   5108 (71)
#   5118 (71)
#   5122 (70)
#   5126 (74)
#   5131 (80)
#   5132 (78)
#   5133 (76)
#   5140 (71)
#   5162 (46)
#   5171 (80)
#   5172 (80)
#   5185 (78)
#   5204 (64)
#   5208 (67)
#   5210 (54)
#   5214 (72)
#   5231 (42)
#   5242 (42)
#   5275 (33)
#   5297 (76)
#   5304 (80)
#   5309 (76)
#   5343 (69)
#   5344 (80)
#   5368 (80)
#   5375 (77)
#   5376 (74)
#   5379 (80)
#   5395 (80)
#   5404 (53)
#   5416 (72)
#   5427 (78)
#   5438 (80)
#   5451 (78)
#   5458 (80)
#   5482 (66)
#   5486 (80)
#   5487 (78)
#   5502 (77)
#   5504 (80)
#   5513 (78)
#   5534 (80)
#   5543 (43)
#   5556 (80)
#   5572 (80)
#   5579 (63)
#   5695 (31)
#   5712 (80)
#   5722 (74)
#   5723 (80)
#   5797 (80)
#   5800 (71)
#   5816 (80)
#   5817 (80)
#   5822 (80)
#   5848 (49)
#   5889 (76)
#   5898 (76)
#   5914 (47)
#   5954 (76)
#   5975 (69)
#   6053 (41)
#   6080 (29)
#   6096 (73)
#   6099 (41)
#   6110 (71)
#   6115 (72)
#   6156 (57)
#   6162 (74)
#   6182 (78)
#   6183 (73)
#   6194 (79)
#   6196 (60)
#   6268 (55)
#   6275 (40)
#   6282 (66)
#   6310 (75)
#   6316 (74)
#   6323 (71)
#   6326 (80)
#   6327 (72)
#   6333 (80)
#   6335 (80)
#   6336 (80)
#   6342 (80)
#   6343 (80)
#   6344 (74)
#   6345 (80)
#   6346 (80)
#   6350 (80)
#   6354 (80)
#   6359 (76)
#   6362 (80)
#   6364 (80)
#   6365 (80)
#   6366 (78)
#   6367 (78)
#   6370 (72)
#   6377 (74)
#   6380 (80)
#   6383 (69)
#   6386 (77)
#   6387 (78)
#   6391 (80)
#   6418 (80)
#   6420 (76)
#   6422 (62)
#   6427 (39)
#   6431 (75)
#   6436 (80)
#   6445 (70)
#   6456 (80)
#   6508 (80)
#   6519 (58)
#   6550 (59)
#   6553 (64)
#   6562 (65)
#   6564 (80)
#   6565 (80)
#   6571 (69)
#   6598 (80)
#   6600 (80)
#   6627 (80)
#   6652 (80)
#   6653 (80)
#   6682 (80)
#   6708 (76)
#   6720 (72)
#   6731 (44)
#   6735 (53)
#   6742 (58)
#   6776 (80)
#   6808 (51)
#   6841 (80)
#   6847 (42)
#   6859 (44)
#   6886 (41)
#   6892 (69)
#   6899 (80)
#   6901 (66)
#   6903 (75)
#   6910 (68)
#   6937 (80)
#   6943 (71)
#   6991 (80)
#   6993 (52)
#   7008 (28)
#   7019 (80)
#   7023 (80)
#   7025 (67)
#   7041 (30)
#   7050 (80)
#   7056 (76)
#   7066 (80)
#   7080 (80)
#   7090 (73)
#   7093 (68)
#   7105 (73)
#   7108 (69)
#   7159 (47)
#   7176 (46)
#   7185 (80)
#   7203 (56)
#   7229 (80)
#   7230 (80)
#   7262 (80)
#   7265 (71)
#   7277 (71)
#   7285 (66)
#   7299 (80)
#   7308 (80)
#   7339 (80)
#   7350 (80)
#   7351 (80)
#   7359 (52)
#   7361 (80)
#   7368 (80)
#   7375 (80)
#   7381 (78)
#   7391 (57)
#   7409 (56)
#   7411 (67)
#   7426 (80)
#   7429 (77)
#   7430 (80)
#   7436 (80)
#   7437 (80)
#   7439 (80)
#   7443 (62)
#   7444 (80)
#   7467 (80)
#   7499 (80)
#   7507 (77)
#   7519 (41)
#   7527 (80)
#   7538 (60)
#   7560 (80)
#   7574 (80)
#   7578 (80)
#   7581 (80)
#   7582 (80)
#   7648 (74)
#   7650 (80)
#   7651 (80)
#   7658 (80)
#   7666 (80)
#   7672 (80)
#   7673 (75)
#   7676 (80)
#   7677 (76)
#   7679 (80)
#   7680 (80)
#   7681 (80)
#   7683 (80)
#   7698 (80)
#   7705 (80)
#   7706 (76)
#   7707 (80)
#   7715 (80)
#   7718 (31)
#   7734 (64)
#   7740 (80)
#   7753 (80)
#   7765 (80)
#   7766 (80)
#   7767 (73)
#   7770 (80)
#   7805 (80)
#   7806 (80)
#   7807 (79)
#   7816 (54)
#   7821 (80)
#   7823 (65)
#   7825 (80)
#   7835 (80)
#   7836 (80)
#   7842 (80)
#   7850 (80)
#   7861 (80)
#   7862 (80)
#   7867 (41)
#   7871 (80)
#   7895 (80)
#   7902 (49)
#   7925 (80)
#   7926 (63)
#   7928 (78)
#   7931 (80)
#   7940 (66)
#   7942 (80)
#   7957 (43)
#   7962 (80)
#   7963 (74)
#   7965 (80)
#   7982 (80)
#   7984 (80)
#   7985 (80)
#   7986 (80)
#   7994 (67)
#   8007 (80)
#   8013 (80)
#   8021 (80)
#   8025 (80)
#   8031 (80)
#   8052 (80)
#   8070 (80)
#   8077 (41)
#   8092 (76)
#   8100 (80)
#   8105 (80)
#   8115 (80)
#   8131 (67)
#   8134 (62)
#   8151 (80)
#   8154 (70)
#   8158 (80)
#   8160 (80)
#   8163 (80)
#   8182 (80)
#   8186 (61)
#   8199 (80)
#   8202 (80)
#   8203 (80)
#   8211 (47)
#   8219 (77)
#   8221 (80)
#   8231 (34)
#   8244 (80)
#   8250 (80)
#   8256 (57)
#   8258 (78)
#   8289 (80)
#   8310 (80)
#   8334 (80)
#   8351 (80)
#   8376 (80)
#   8394 (80)
#   8399 (80)
#   8427 (72)
#   8435 (80)
#   8465 (80)
#   8474 (70)
#   8478 (68)
#   8481 (80)
#   8483 (75)
#   8485 (80)
#   8488 (76)
#   8490 (73)
#   8492 (66)
#   8496 (68)
#   8503 (55)
#   8506 (78)
#   8507 (74)
#   8517 (70)
#   8542 (80)
#   8551 (80)
#   8578 (80)
#   8580 (80)
#   8581 (80)
#   8583 (72)
#   8584 (80)
#   8590 (80)
#   8592 (80)
#   8601 (72)
#   8612 (51)
#   8614 (65)
#   8624 (27)
#   8628 (29)
#   8701 (45)
#   8720 (80)
#   8724 (80)
#   8727 (77)
#   8728 (79)
#   8733 (80)
#   8740 (65)
#   8745 (63)
#   8757 (48)
#   8781 (66)
#   8790 (80)
#   8791 (80)
#   8821 (80)
#   8825 (76)
#   8827 (80)
#   8850 (66)
#   8862 (68)
#   8869 (80)
#   8874 (41)
#   8884 (80)
#   8904 (54)
#   8906 (71)
#   8917 (80)
#   8919 (76)
#   8955 (80)
#   8960 (80)
#   9029 (26)
#   9102 (76)
#   9160 (51)
#   9179 (72)
#   9194 (70)
#   9195 (73)
#   9203 (80)
#   9221 (80)
#   9222 (75)
#   9228 (60)
#   9234 (77)
#   9245 (74)
#   9253 (55)
#   9255 (79)
#   9271 (72)
#   9298 (78)
#   9308 (78)
#   9311 (37)
#   9340 (76)
#   9363 (69)
#   9417 (67)
#   9418 (80)
#   9431 (80)
#   9501 (35)
#   9523 (80)
#   9531 (80)
#   9554 (74)
#   9557 (79)
#   9572 (80)
#   9575 (80)
#   9577 (42)
#   9583 (80)
#   9586 (76)
#   9589 (80)
#   9593 (80)
#   9595 (80)
#   9597 (72)
#   9606 (80)
#   9607 (80)
#   9608 (80)
#   9616 (80)
#   9618 (80)
#   9619 (80)
#   9625 (80)
#   9630 (80)
#   9631 (65)
#   9667 (80)
#   9675 (31)
#   9683 (80)
#   9684 (80)
#   9704 (80)
#   9707 (80)
#   9710 (80)
#   9716 (80)
#   9746 (80)
#   9755 (80)
#   9761 (67)
#   9798 (69)
#   9805 (42)
#   9816 (79)
#   9822 (80)
#   9834 (72)
#   9835 (80)
#   9836 (80)
#   9838 (80)
#   9839 (80)
#   9842 (80)
#   9850 (80)
#   9851 (70)
#   9852 (80)
#   9854 (80)
#   9856 (69)
#   9860 (80)
#   9861 (80)
#   9865 (80)
#   9866 (80)
#   9898 (72)
#   9924 (80)
#   9926 (80)
#   9942 (71)
#   9959 (80)
#   9960 (80)
#   9962 (80)
#   9970 (32)
#   10003 (80)
#   10020 (80)
#   10021 (76)
#   10023 (69)
#   10053 (74)
#   10055 (52)
#   10079 (80)
#   10080 (80)
#   10081 (68)
#   10086 (67)
#   10097 (50)
#   10103 (64)
#   10104 (64)
#   10135 (80)
#   10216 (80)
#   10230 (69)
#   10244 (41)
#   10249 (80)
#   10256 (77)
#   10293 (67)
#   10308 (80)
#   10325 (80)
#   10328 (80)
#   10364 (74)
#   10373 (60)
#   10375 (73)
#   10379 (74)
#   10381 (70)
#   10389 (61)
#   10399 (65)
#   10414 (77)
#   10418 (64)
#   10423 (78)
#   10426 (67)
#   10428 (65)
#   10458 (69)
#   10460 (63)
#   10471 (78)
#   10479 (73)
#   10489 (80)
#   10491 (69)
#   10501 (80)
#   10511 (80)
#   10516 (70)
#   10521 (80)
#   10529 (80)
#   10531 (80)
#   10620 (27)
#   10675 (80)
#   10742 (76)
#   10745 (80)
#   10775 (42)
#   10804 (80)
#   10818 (68)
#   10824 (41)
#   10836 (45)
#   10839 (42)
#   10845 (62)
#   10888 (64)
#   10908 (76)
#   10956 (80)
#   10961 (36)
#   11003 (44)
#   11011 (80)
#   11019 (77)
#   11041 (44)
#   11046 (80)
#   11050 (80)
#   11062 (41)
#   11064 (78)
#   11090 (80)
#   11104 (80)
#   11105 (75)
#   11109 (73)
#   11143 (80)
#   11145 (61)
#   11148 (80)
#   11151 (80)
#   11154 (80)
#   11155 (80)
#   11157 (66)
#   11164 (61)
#   11177 (73)
#   11181 (76)
#   11186 (49)
#   11225 (80)
#   11245 (80)
#   11277 (29)
#   11283 (77)
#   11290 (73)
#   11292 (63)
#   11296 (80)
#   11298 (27)
#   11312 (71)
#   11360 (80)
#   11372 (39)
#   11378 (76)
#   11417 (71)
#   11447 (42)
#   11455 (80)
#   11460 (80)
#   11473 (78)
#   11496 (74)
#   11504 (44)
#   11515 (68)
#   11529 (74)
#   11542 (80)
#   11548 (80)
#   11555 (80)
#   11557 (80)
#   11560 (47)
#   11566 (80)
#   11567 (80)
#   11571 (80)
#   11578 (66)
#   11596 (78)
#   11597 (80)
#   11603 (45)
#   11627 (72)
#   11654 (65)
#   11664 (35)
#   11685 (45)
#   11699 (34)
#   11705 (61)
#   11760 (80)
#   11767 (80)
#   11771 (70)
#   11784 (49)
#   11789 (80)
#   11796 (67)
#   11798 (72)
#   11806 (67)
#   11811 (65)
#   11851 (45)
#   11861 (75)
#   11870 (63)
#   11894 (76)
#   11899 (80)
#   11908 (80)
#   11930 (80)
#   11941 (76)
#   11945 (62)
#   11947 (73)
#   11952 (78)
#   11953 (72)
#   11954 (73)
#   11961 (80)
#   11965 (76)
#   11994 (71)
#   12015 (70)
#   12023 (80)
#   12031 (62)
#   12083 (38)
#   12142 (64)
#   12150 (58)
#   12206 (62)
#   12220 (80)
#   12230 (70)
#   12239 (52)
#   12248 (67)
#   12255 (80)
#   12262 (80)
#   12266 (68)
#   12279 (74)
#   12285 (74)
#   12302 (50)
#   12307 (74)
#   12319 (80)
#   12338 (80)
#   12382 (74)
#   12399 (80)
#   12412 (40)
#   12419 (75)
#   12433 (60)
#   12435 (80)
#   12438 (48)
#   12450 (64)
#   12451 (69)
#   12452 (71)
#   12453 (64)
#   12455 (70)
#   12456 (80)
#   12458 (42)
#   12501 (80)
#   12548 (80)
#   12564 (80)
#   12566 (80)
#   12578 (69)
#   12582 (80)
#   12583 (80)
#   12591 (74)
#   12597 (80)
#   12612 (80)
#   12614 (50)
#   12618 (74)
#   12637 (59)
#   12674 (70)
#   12685 (80)
#   12686 (78)
#   12699 (79)
#   12707 (72)
#   12803 (60)
#   12805 (80)
#   12806 (75)
#   12807 (77)
#   12813 (77)
#   12819 (74)
#   12820 (77)
#   12827 (79)
#   12836 (80)
#   12843 (80)
#   12849 (80)
#   12855 (80)
#   12862 (68)
#   12878 (60)
#   12890 (70)
#   12892 (49)
#   12894 (65)
#   12896 (64)
#   12897 (64)
#   12902 (76)
#   12910 (56)
#   12914 (64)
#   12922 (62)
#   12925 (50)
#   12927 (69)
#   12930 (80)
#   12931 (77)
#   12935 (64)
#   12939 (80)
#   12940 (80)
#   12948 (80)
#   12963 (80)
#   12993 (76)
#   13001 (74)
#   13002 (77)
#   13019 (80)
#   13023 (73)
#   13039 (78)
#   13061 (80)
#   13075 (80)
#   13076 (80)
#   13080 (45)
#   13091 (80)
#   13093 (72)
#   13100 (74)
#   13101 (80)
#   13103 (56)
#   13107 (32)
#   13109 (80)
#   13113 (62)
#   13128 (41)
#   13203 (80)
#   13208 (71)
#   13271 (80)
#   13272 (80)
#   13277 (77)
#   13279 (75)
#   13295 (77)
#   13304 (80)
#   13310 (42)
#   13318 (78)
#   13323 (80)
#   13324 (80)
#   13327 (79)
#   13328 (72)
#   13348 (80)
#   13352 (80)
#   13355 (40)
#   13358 (74)
#   13360 (68)
#   13402 (61)
#   13423 (73)
#   13446 (75)
#   13456 (58)
#   13458 (43)
#   13503 (80)
#   13518 (80)
#   13532 (80)
#   13533 (77)
#   13534 (71)
#   13547 (80)
#   13554 (80)
#   13572 (74)
#   13579 (18)
#   13581 (23)
#   13589 (74)
#   13592 (80)
#   13594 (73)
#   13597 (71)
#   13602 (78)
#   13604 (45)
#   13610 (76)
#   13628 (65)
#   13632 (73)
#   13633 (73)
#   13634 (74)
#   13639 (45)
#   13647 (35)
#   13654 (63)
#   13682 (80)
#   13694 (42)
#   13696 (80)
#   13720 (80)
#   13734 (80)
#   13747 (80)
#   13753 (65)
#   13774 (80)
#   13778 (80)
#   13782 (80)
#   13792 (74)
#   13804 (80)
#   13818 (25)
#   13822 (80)
#   13834 (78)
#   13944 (28)
#   13992 (80)
#   14025 (28)
#   14041 (57)
#   14044 (24)
#   14078 (80)
#   14106 (75)
#   14110 (66)
#   14127 (80)
#   14128 (80)
#   14133 (80)
#   14134 (80)
#   14135 (80)
#   14148 (80)
#   14149 (80)
#   14160 (80)
#   14167 (80)
#   14179 (79)
#   14186 (63)
#   14191 (74)
#   14208 (61)
#   14264 (29)
#   14286 (52)
#   14337 (32)
#   14370 (49)
#   14379 (80)
#   14402 (77)
#   14407 (43)
#   14414 (51)
#   14417 (80)
#   14429 (80)
#   14454 (80)
#   14461 (60)
#   14465 (80)
#   14475 (70)
#   14502 (72)
#   14513 (42)
#   14524 (72)
#   14548 (80)
#   14554 (50)
#   14590 (51)
#   14594 (63)
#   14627 (63)
#   14684 (42)
#   14686 (35)
#   14692 (41)
#   14699 (34)
#   14701 (48)
#   14764 (32)
#   14778 (80)
#   14787 (80)
#   14808 (41)
#   14827 (80)
#   14833 (80)
#   14837 (80)
#   14868 (80)
#   14875 (80)
#   14879 (80)
#   14946 (64)
#   15002 (33)
#   15040 (74)
#   15044 (42)
#   15050 (79)
#   15087 (75)
#   15095 (80)
#   15131 (80)
#   15145 (80)
#   15167 (80)
#   15175 (72)
#   15198 (30)
#   15225 (67)
#   15242 (80)
#   15245 (53)
#   15256 (80)
#   15257 (71)
#   15264 (80)
#   15275 (68)
#   15289 (80)
#   15307 (52)
#   15313 (73)
#   15332 (80)
#   15349 (58)
#   15365 (62)
#   15399 (80)
#   15406 (77)
#   15407 (80)
#   15419 (80)
#   15424 (63)
#   15493 (79)
#   15495 (71)
#   15520 (80)
#   15529 (77)
#   15546 (44)
#   15548 (42)
#   15551 (80)
#   15564 (60)
#   15567 (72)
#   15568 (80)
#   15589 (56)
#   15616 (77)
#   15649 (43)
#   15657 (80)
#   15667 (60)
#   15682 (61)
#   15733 (25)
#   15752 (55)
#   15774 (29)
#   15790 (50)
#   15896 (79)
#   15897 (72)
#   15925 (77)
#   15928 (63)
#   15930 (74)
#   15931 (71)
#   15936 (72)
#   15943 (80)
#   15946 (76)
#   15948 (71)
#   15959 (78)
#   15967 (38)
#   15973 (78)
#   15974 (77)
#   15975 (74)
#   15979 (74)
#   15980 (71)
#   15987 (71)
#   15991 (56)
#   15996 (59)
#   16000 (77)
#   16019 (65)
#   16028 (78)
#   16034 (78)
#   16037 (80)
#   16046 (74)
#   16049 (80)
#   16051 (77)
#   16053 (71)
#   16055 (77)
#   16056 (62)
#   16074 (80)
#   16081 (62)
#   16084 (80)
#   16085 (63)
#   16103 (80)
#   16136 (43)
#   16147 (47)
#   16150 (80)
#   16185 (76)
#   16232 (80)
#   16240 (80)
#   16247 (76)
#   16286 (80)
#   16297 (80)
#   16302 (80)
#   16303 (80)
#   16307 (80)
#   16308 (80)
#   16312 (76)
#   16316 (79)
#   16331 (65)
#   16357 (75)
#   16360 (80)
#   16367 (80)
#   16372 (80)
#   16373 (80)
#   16374 (80)
#   16378 (55)
#   16413 (67)
#   16421 (65)
#   16448 (55)
#   16454 (80)
#   16489 (54)
#   16499 (80)
#   16562 (64)
#   16592 (55)
#   16621 (80)
#   16638 (66)
#   16644 (76)
#   16667 (80)
#   16674 (77)
#   16680 (78)
#   16686 (72)
#   16703 (74)
#   16747 (63)
#   16753 (54)
#   16763 (74)
#   16774 (56)
#   16791 (80)
#   16793 (42)
#   16802 (80)
#   16819 (80)
#   16825 (80)
#   16826 (80)
#   16834 (72)
#   16838 (80)
#   16862 (80)
#   16875 (41)
#   16982 (80)
#   16999 (80)
#   17044 (80)
#   17046 (74)
#   17048 (80)
#   17049 (80)
#   17054 (76)
#   17058 (80)
#   17059 (80)
#   17067 (80)
#   17070 (80)
#   17078 (80)
#   17080 (53)
#   17087 (80)
#   17109 (76)
#   17110 (80)
#   17124 (74)
#   17130 (51)
#   17161 (64)
#   17181 (73)
#   17201 (80)
#   17202 (80)
#   17308 (63)
#   17313 (63)
#   17346 (80)
#   17351 (80)
#   17356 (80)
#   17364 (80)
#   17427 (53)
#   17429 (80)
#   17432 (80)
#   17434 (62)
#   17437 (47)
#   17451 (80)
#   17456 (77)
#   17469 (72)
#   17485 (41)
#   17489 (80)
#   17496 (63)
#   17497 (74)
#   17498 (80)
#   17503 (76)
#   17507 (72)
#   17511 (48)
#   17530 (80)
#   17533 (70)
#   17536 (75)
#   17583 (80)
#   17616 (80)
#   17707 (77)
#   17740 (80)
#   17741 (80)
#   17756 (80)
#   17760 (80)
#   17783 (37)
#   17806 (76)
#   17822 (80)
#   17824 (80)
#   17825 (80)
#   17831 (61)
#   17849 (80)
#   17855 (80)
#   17876 (55)
#   17881 (80)
#   17887 (80)
#   17888 (80)
#   17889 (75)
#   17890 (80)
#   17892 (72)
#   17894 (80)
#   17895 (80)
#   17905 (80)
#   17907 (80)
#   17909 (80)
#   17916 (80)
#   17965 (61)
#   17968 (77)
#   18003 (56)
#   18053 (30)
#   18058 (80)
#   18062 (79)
#   18086 (44)
#   18096 (74)
#   18097 (80)
#   18098 (80)
#   18104 (80)
#   18112 (80)
#   18120 (63)
#   18125 (80)
#   18129 (80)
#   18130 (74)
#   18132 (70)
#   18133 (73)
#   18139 (80)
#   18142 (61)
#   18145 (80)
#   18147 (80)
#   18151 (80)
#   18172 (66)
#   18185 (80)
#   18193 (76)
#   18196 (77)
#   18199 (80)
#   18221 (80)
#   18237 (80)
#   18260 (76)
#   18276 (80)
#   18277 (80)
#   18317 (74)
#   18342 (80)
#   18352 (51)
#   18413 (62)
#   18442 (80)
#   18465 (80)
#   18486 (80)
#   18493 (62)
#   18497 (80)
#   18509 (59)
#   18536 (76)
#   18545 (80)
#   18550 (72)
#   18551 (75)
#   18570 (51)
#   18625 (67)
#   18661 (41)
#   18670 (80)
#   18676 (80)
#   18677 (80)
#   18678 (80)
#   18744 (33)
#   18779 (73)
#   18786 (80)
#   18799 (80)
#   18810 (77)
#   18820 (80)
#   18831 (80)
#   18844 (66)
#   18849 (61)
#   18860 (73)
#   18869 (71)
#   18877 (79)
#   18897 (80)
#   18909 (42)
#   18912 (76)
#   18916 (68)
#   18936 (73)
#   18960 (80)
#   18973 (52)
#   18975 (61)
#   19002 (55)
#   19006 (80)
